시군명,충전소명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,운영기관명,충전기타입명
수원시,수원시 송죽동 주민센터,경기도 수원시 장안구 송죽동 502-1번지 주차장,경기도 수원시 장안구 송원로41번길 16-21,16305,37.3005312797,127.0070576011,차지비,AC완속
수원시,수원시 세류1동 주민센터,경기도 수원시 권선구 세류동 223-2번지 주차장,경기도 수원시 권선구 세류로38번길 10,16593,37.2621899095,127.0079729847,차지비,AC완속
수원시,수원시 서둔동 행정복지센터,경기도 수원시 권선구 서둔동 207-13번지 주차장,경기도 수원시 권선구 서호로 146,16617,37.2725980742,126.9860686227,차지비,AC완속
수원시,수원시 권선1동 주민센터,경기도 수원시 권선구 권선동 1034-5번지 주차장,경기도 수원시 권선구 경수대로352번길 29,16566,37.2577418593,127.0246017311,차지비,AC완속
수원시,수원시 매탄1동 주민센터,경기도 수원시 영통구 매탄동 176-4번지 주차장,경기도 수원시 영통구 인계로189번길 119,16532,37.2704963694,127.0405263897,차지비,AC완속
수원시,수원시 원천동 주민센터,경기도 수원시 영통구 원천동 610번지 주차장,경기도 수원시 영통구 중부대로 339,16518,37.2735107118,127.0532650861,차지비,AC완속
수원시,수원시 광교1동 주민센터,경기도 수원시 영통구 이의동 1350번지 주차장,경기도 수원시 영통구 도청로89번길 20,16509,37.2901821843,127.0473902010,차지비,AC완속
수원시,수원시 파장동 주민센터,경기도 수원시 장안구 파장동 381번지 주차장,경기도 수원시 장안구 파장천로 60,16204,37.3103158829,126.9974241401,차지비,AC완속
수원시,수원시 율천동 주민센터,경기도 수원시 장안구 율전동 433-2번지 주차장,경기도 수원시 장안구 서부로2106번길 27,16417,37.2976192461,126.9714223702,차지비,AC완속
수원시,수원시 조원1동 주민센터,경기도 수원시 장안구 조원동 735번지 주차장,경기도 수원시 장안구 금당로 56,16282,37.3017871266,127.0165050771,차지비,AC완속
수원시,수원시 세류2동 주민센터,경기도 수원시 권선구 세류동 980-1번지 주차장,경기도 수원시 권선구 덕영대로 1107,16588,37.2533773620,127.0130821255,차지비,AC완속
수원시,수원시 지동 주민센터,경기도 수원시 팔달구 지동 479번지 주차장,경기도 수원시 팔달구 팔달문로115번길 5,16248,37.2820318377,127.0284649099,차지비,AC완속
수원시,수원시 매교동 주민센터,경기도 수원시 팔달구 매교동 88-1번지 주차장,경기도 수원시 팔달구 효원로89번길 60,16466,37.2685706454,127.0142475187,차지비,AC완속
수원시,수원시 영통1동 주민센터,경기도 수원시 영통구 영통동 947-6번지 주차장,경기도 수원시 영통구 봉영로1759번길 23,16712,37.2663362928,127.0805559659,차지비,AC완속
수원시,수원시 우만1동 행정복지센터,경기도 수원시 팔달구 우만동 506번지 주차장,경기도 수원시 팔달구 세지로 406,16237,37.2853527370,127.0294143703,차지비,AC완속
수원시,수원시 정자3동 주민센터,경기도 수원시 장안구 정자동 879-4번지 주차장,경기도 수원시 장안구 대평로 85,16333,37.2956927353,126.9925796203,차지비,AC완속
수원시,수원시 화서1동 주민센터,경기도 수원시 팔달구 화서동 184-357번지 주차장,경기도 수원시 팔달구 동말로4번길 10,16442,37.2764585981,126.9950436800,차지비,AC완속
수원시,수원시 성균관대학교 자연과학캠퍼스,"경기도 수원시 장안구 천천동 300번지 실내체육관앞 1F주차장 6대, 나노센터 B2주차장 2대",경기도 수원시 장안구 서부로 2066,16419,37.2939647618,126.9766378597,차지비,AC완속
